1     0     8072     8970     
2     0     9004     7953     
3     0     8614     8528     
4     0     8575     8840     
5     1     9139     8337     
6     1     8876     8641     
7     0     8996     8039     
8     0     9072     8894     
9     0     7898     8892     
10     0     8320     9010     
11     0     9052     8923     
12     0     8846     7633     
13     0     9130     7438     
14     0     9194     6474     
15     0     9338     5737     
16     1     9131     6958     
17     0     8102     7636     
18     0     9334     6740     
19     0     9183     6073     
20     0     9230     7068     
21     0     8889     7272     
22     0     8639     6916     
23     0     9110     6393     
24     0     8217     5835     
25     0     8167     5609     
26     0     9272     7095     
27     0     8341     6903     
28     0     8458     5106     
29     0     8546     6218     
30     1     9419     4177     
31     0     9215     4570     
32     0     8685     4497     
33     0     8400     4117     
34     0     9110     5067     
35     1     9310     5450     
36     0     8175     4862     
37     1     9361     7166     
38     0     8303     4935     
39     0     8536     4226     
40     0     8598     5377     
41     1     9435     4473     
42     0     8189     5720     
44     0     8797     4787     
45     0     8789     5006     
46     0     8326     9300     
47     0     8457     4785     
48     1     8326     9541     
49     0     5101     7115     
50     0     5100     6466     
51     0     8373     9379     
52     0     7042     8761     
53     0     4716     6733     
54     0     4714     6455     
55     0     4492     7463     
56     0     7212     8262     
57     0     5109     6590     
58     0     7209     7467     
59     1     7468     7789     
60     1     7768     7972     
61     0     7507     8280     
62     0     7796     7657     
63     1     7639     7009     
64     0     7237     7299     
65     0     7459     6591     
66     0     7620     6039     
67     1     6934     6918     
68     0     9149     3588     
69     0     8861     3882     
70     0     7708     5776     
71     0     7119     7784     
72     1     7042     7264     
73     0     7068     6341     
74     1     7039     6234     
75     0     8778     3844     
76     1     9485     3319     
77     0     5683     7046     
78.1     1     5305     6065     
78.2     1     5306     6065     
79     0     5456     6353     
80     0     4612     6147     
81     0     5717     6023     
82     0     5597     7725     
83     0     5231     7472     
84     0     5385     7052     
85     1     6092     7671     
86     0     4862     5969     
87     0     6252     8271     
88     0     6720     7541     
89     1     6720     7164     
90     0     6569     7391     
91     0     6258     7127     
92     1     5952     6278     
93     0     9558     9403     
94     1     9208     9114     
95     0     9352     7957     
96     1     7759     6222     
97     0     9473     8826     
98     0     7505     6024     
99     0     7974     6332     
100     0     7628     6730     
101     0     7634     6229     
102     0     8126     7269     
103     0     9756     9257     
104     0     10070     6739     
105     0     9752     6468     
106     0     10073     8273     
107     0     9405     10431     
108     0     9770     3469     
109     0     10147     8141     
110     1     10100     3085     
111     0     9262     10068     
112     1     9850     3656     
113     0     9990     3824     
114     0     9305     9661     
115     0     8831     9393     
116     0     9667     9541     
117     0     9570     9059     
118     0     9656     8356     
119     0     9547     7690     
120     1     9702     4581     
121     0     9416     9223     
122     0     9502     8846     
123     0     8937     9611     
124     0     10030     4274     
125     0     10263     4790     
126     0     10324     4389     
127     0     10232     7271     
128     0     10292     7562     
129     0     9497     7564     
130     0     9412     7463     
131     0     9722     7065     
132     0     9953     4673     
133     1     9757     5276     
134     0     9879     6309     
135     0     10061     5937     
136     0     10192     5291     
137     0     9716     6713     
139     0     9699     7240     
140     1     9665     5554     
141.1     1     10148     5222     
141.2     1     10156     5225     
142     0     10143     6317     
151     1     10373     3208     




